no;title;rating_avg;rating_total;year
1;Vykoupení z věznice Shawshank;95.4;114912;1994
2;Forrest Gump;94.4;130202;1994
3;Zelená míle;92.9;110789;1999
4;Sedm;92.5;100681;1995
5;Přelet nad kukaččím hnízdem;92.4;82590;1975
6;Schindlerův seznam;92.4;76734;1993
7;Kmotr;91.8;72041;1972
8;Dvanáct rozhněvaných mužů;91.5;39055;1957
9;Nedotknutelní;91.3;82728;2011
10;Pelíšky;91.2;117178;1999
11;Terminátor 2: Den zúčtování;91.0;83502;1991
12;Pán prstenů: Společenstvo Prstenu;90.7;114087;2001
13;Pulp Fiction: Historky z podsvětí;90.8;109902;1994
14;Pán prstenů: Návrat krále;90.7;106083;2003
15;Kmotr II;90.7;50045;1974
16;Temný rytíř;90.5;100960;2008
17;Mlčení jehňátek;90.6;86891;1991
18;Tenkrát na Západě;90.5;53956;1968
19;Matrix;90.3;111180;1999
20;Gran Torino;90.3;77684;2008
21;Hodný, zlý a ošklivý;90.0;37562;1966
22;Dobyvatelé ztracené archy;89.9;75528;1981
23;Rain Man;89.8;76043;1988
24;Sedm statečných;89.9;50052;1960
25;Vyšší princip;89.8;32760;1960
26;Indiana Jones a Poslední křížová výprava;89.7;76568;1989
27;Le Mans '66;89.7;31200;2019
28;Vetřelec;89.7;74601;1979
29;Vetřelci;89.6;61817;1986
30;Rivalové;89.6;61625;2013
31;Smrtonosná past;89.5;71736;1988
32;Podraz;89.5;33991;1973
33;Zachraňte vojína Ryana;89.3;86427;1998
34;S čerty nejsou žerty;89.3;80923;1984
35;Leon;89.2;66096;1994
36;„Marečku, podejte mi pero!“;89.1;84281;1976
37;Amadeus;89.1;56300;1984
38;Obecná škola;89.0;85967;1991
39;Star Wars: Epizoda V - Impérium vrací úder;89.0;70148;1980
40;Pán prstenů: Dvě věže;88.9;103564;2002
41;L. A. - Přísně tajné;88.9;40270;1997
42;Cesta do hlubin študákovy duše;88.9;40086;1939
43;Butch Cassidy a Sundance Kid;88.9;32290;1969
44;Návrat do budoucnosti;88.8;69726;1985
45;Gladiátor;88.7;91588;2000
46;Počátek;88.7;100578;2010
47;Čistá duše;88.6;57889;2001
48;Město bohů;88.7;42517;2002
49;Pianista;88.5;59408;2002
50;Spalovač mrtvol;88.5;56078;1968
51;Tanec s vlky;88.5;49026;1990
52;Vesničko má středisková;88.4;84314;1985
53;Nespoutaný Django;88.2;77482;2012
54;Šestý smysl;88.2;77349;1999
55;Casino;88.2;36138;1995
56;Prokletý ostrov;88.1;80509;2010
57;Klub rváčů;88.1;79326;1999
58;Kult hákového kříže;88.2;59931;1998
59;Statečné srdce;88.0;73504;1995
